field,category,cardinality,n_distinct_observed,support,null_count,absence_rate,majority_answer,majority_count,majority_share,pcl_risk
specific_performance_answer,Remedies,2,2,149,3,0.019736842105263157,"""entitled to"" specific performance",135,0.9060402684563759,0.017882373719533735
accuracy_of_fundamental_target_rws_bringdown_standard,Conditions to Closing,3,3,148,4,0.02631578947368421,Accurate in all material respects,92,0.6216216216216216,0.016358463726884778
accuracy_of_target_general_rw_bringdown_standard_answer,Conditions to Closing,4,4,150,2,0.013157894736842105,All/The R&Ws accurate at MAE standard,143,0.9533333333333334,0.012543859649122807
fiduciary_exception_board_determination_trigger_no_shop_answer,Deal Protection and Related Provisions,2,2,151,1,0.006578947368421052,"Superior Offer, or Acquisition Proposal reasonably likely/expected to result in a Superior Offer",143,0.9470198675496688,0.006230393865458347
tail_period_length_answer,Deal Protection and Related Provisions,5,5,151,1,0.006578947368421052,within 12 months,138,0.9139072847682119,0.006012547926106657
accuracy_of_target_general_rw_bringdown_timing_answer,Conditions to Closing,2,2,151,1,0.006578947368421052,At Signing & At Closing,109,0.7218543046357616,0.004749041477866853
type_of_consideration_answer,General Information,4,4,152,0,0.0,All Cash,89,0.5855263157894737,0.0
accuracy_of_target_capitalization_rw_outstanding_shares_bringdown_standard_answer,Conditions to Closing,4,4,152,0,0.0,Accurate in all respects with de minimis exception,125,0.8223684210526315,0.0
compliance_with_target_covenant_closing_condition_answer,Conditions to Closing,3,3,152,0,0.0,All Covenants,138,0.9078947368421053,0.0
mae_definition_includes_adverse_impact_on_targets_ability_to_consummate_yn,Material Adverse Effect,2,2,152,0,0.0,Yes,105,0.6907894736842105,0.0
ability_to_consummate_concept_is_subject_to_mae_carveouts,Material Adverse Effect,2,2,152,0,0.0,No,129,0.8486842105263158,0.0
mae_definition_includes_reference_to_target_prospects_yn,Material Adverse Effect,2,2,152,0,0.0,No,150,0.9868421052631579,0.0
mae_forward_looking_standard_yn,Material Adverse Effect,2,2,152,0,0.0,Yes,121,0.7960526315789473,0.0
fls_mae_standard_answer,Material Adverse Effect,5,5,152,0,0.0,"""Would"" (reasonably) be expected to",95,0.625,0.0
mae_applies_to_target_and_subsidiaries_mae_answer,Material Adverse Effect,2,2,152,0,0.0,"Applies to Target and subsidiaries ""taken as a whole""",143,0.9407894736842105,0.0
general_political_andor_social_conditions_yn,Material Adverse Effect,2,2,152,0,0.0,Yes,139,0.9144736842105263,0.0
general_political_andor_social_conditions_subject_to_disproportionate_impact_modifier,Material Adverse Effect,2,2,152,0,0.0,Yes,137,0.9013157894736842,0.0
general_economic_and_financial_conditions_yn,Material Adverse Effect,2,2,152,0,0.0,Yes,132,0.868421052631579,0.0
general_economic_and_financial_conditions_subject_to_disproportionate_impact_modifier,Material Adverse Effect,2,2,152,0,0.0,Yes,133,0.875,0.0
changes_in_targets_industry_yn,Material Adverse Effect,2,2,152,0,0.0,Yes,147,0.9671052631578947,0.0
change_in_targets_industry_subject_to_disproportionate_impact_modifier,Material Adverse Effect,2,2,152,0,0.0,Yes,146,0.9605263157894737,0.0
change_in_law_yn,Material Adverse Effect,2,2,152,0,0.0,Yes,151,0.993421052631579,0.0
change_in_law_subject_to_disproportionate_impact_modifier,Material Adverse Effect,2,2,152,0,0.0,Yes,136,0.8947368421052632,0.0
changes_in_gaap_or_other_accounting_principles_yn,Material Adverse Effect,2,2,152,0,0.0,Yes,149,0.9802631578947368,0.0
changes_in_gaap_or_other_accounting_principles_subject_to_disproportionate_impact_modifier,Material Adverse Effect,2,2,152,0,0.0,Yes,136,0.8947368421052632,0.0
announcement_pendency_or_consummation_of_deal_yn,Material Adverse Effect,2,2,152,0,0.0,Yes,148,0.9736842105263158,0.0
failure_to_meet_projections_yn,Material Adverse Effect,2,2,152,0,0.0,Yes,149,0.9802631578947368,0.0
failure_to_meet_projections_subject_to_disproportionate_impact_modifier,Material Adverse Effect,2,2,152,0,0.0,No,149,0.9802631578947368,0.0
changes_in_market_pricetrading_volume_of_targets_securities_or_credit_rating_yn,Material Adverse Effect,2,2,152,0,0.0,Yes,139,0.9144736842105263,0.0
targets_securities_or_credit_rating_subject_to_disproportionate_impact_modifier,Material Adverse Effect,2,2,152,0,0.0,No,148,0.9736842105263158,0.0
war_terrorism_natural_disasters_acts_of_god_or_force_majeure_answer_yn,Material Adverse Effect,2,2,152,0,0.0,Yes,151,0.993421052631579,0.0
pandemic_or_other_public_health_event_answer_yn,Material Adverse Effect,2,2,152,0,0.0,Yes,147,0.9671052631578947,0.0
pandemic_or_other_public_health_event_specific_reference_to_covid_19,Material Adverse Effect,2,2,152,0,0.0,Yes,144,0.9473684210526315,0.0
pandemic_or_other_public_health_event_specific_reference_to_pandemic_related_governmental_responses_or_measures,Material Adverse Effect,2,2,152,0,0.0,Yes,103,0.6776315789473685,0.0
pandemic_or_other_public_health_event_subject_to_disproportionate_impact_modifier,Material Adverse Effect,2,2,152,0,0.0,Yes,123,0.8092105263157895,0.0
actions_required_under_transaction_agreement_answer_yn,Material Adverse Effect,2,2,152,0,0.0,Yes,140,0.9210526315789473,0.0
actions_taken_with_consent_or_approval_of_buyer_answer_yn,Material Adverse Effect,2,2,152,0,0.0,Yes,122,0.8026315789473685,0.0
target_stockholder_proceedings_answer_yn,Material Adverse Effect,2,2,152,0,0.0,Yes,90,0.5921052631578947,0.0
matters_listed_on_disclosure_schedules_answer_yn,Material Adverse Effect,2,2,152,0,0.0,No,132,0.868421052631579,0.0
actions_taken_by_buyer_answer_yn,Material Adverse Effect,2,2,152,0,0.0,No,131,0.8618421052631579,0.0
action_prohibitedomission_required_by_the_agreement_answer,Material Adverse Effect,2,2,152,0,0.0,No,83,0.5460526315789473,0.0
relational_language_mae_carveout_answer_yn,Material Adverse Effect,2,2,152,0,0.0,Yes,137,0.9013157894736842,0.0
relational_language_mae_applies_to,Material Adverse Effect,3,3,152,0,0.0,All MAE carveouts,103,0.6776315789473685,0.0
knowledge_definition_answer,Knowledge,2,2,152,0,0.0,Constructive knowledge,84,0.5526315789473685,0.0
knowledge_definition_limited_to_one_or_more_identified_persons_answer_y,Knowledge,2,2,152,0,0.0,Yes,143,0.9407894736842105,0.0
buyer_consent_requirement_ordinary_course_answer,Operating and Efforts Covenant,2,2,152,0,0.0,"Consent may not be unreasonably withheld, conditioned or delayed",136,0.8947368421052632,0.0
includes_consistent_with_past_practice,Operating and Efforts Covenant,2,2,152,0,0.0,Yes,102,0.6710526315789473,0.0
ordinary_course_efforts_standard_answer,Operating and Efforts Covenant,3,3,152,0,0.0,Flat covenant (no efforts standard),80,0.5263157894736842,0.0
ordinary_course_covenant_includes_carve_out_for_pandemic_responses_answer_yn,Operating and Efforts Covenant,2,2,152,0,0.0,Yes,115,0.756578947368421,0.0
buyer_consent_requirement_negative_interim_covenant_answer,Operating and Efforts Covenant,2,2,152,0,0.0,"Consent may not be unreasonably withheld, conditioned or delayed",148,0.9736842105263158,0.0
application_of_buyer_consent_requirement_negative_interim_covenant_answer,Operating and Efforts Covenant,2,2,152,0,0.0,Applies to all negative covenants,136,0.8947368421052632,0.0
negative_interim_covenant_includes_carveout_for_pandemic_responses_answer_yn,Operating and Efforts Covenant,2,2,152,0,0.0,No,85,0.5592105263157895,0.0
general_antitrust_efforts_standard_answer,Operating and Efforts Covenant,3,3,152,0,0.0,Reasonable best efforts,129,0.8486842105263158,0.0
liability_for_breaches_of_no_shop_by_target_representatives_yn,Deal Protection and Related Provisions,2,2,152,0,0.0,Yes,139,0.9144736842105263,0.0
cor_permitted_with_board_fiduciary_determination_only,Deal Protection and Related Provisions,2,2,152,0,0.0,No,142,0.9342105263157895,0.0
cor_permitted_in_response_to_intervening_event,Deal Protection and Related Provisions,2,2,152,0,0.0,Yes,139,0.9144736842105263,0.0
acquisition_proposal_required_to_be_publicly_disclosed_answer_yn,Deal Protection and Related Provisions,2,2,152,0,0.0,Yes,90,0.5921052631578947,0.0
acquisition_proposal_required_to_be_still_pending_answer_yn,Deal Protection and Related Provisions,2,2,152,0,0.0,Yes,116,0.7631578947368421,0.0
additional_matching_rights_period_for_modifications_ftr_answer,Deal Protection and Related Provisions,6,6,122,30,0.19736842105263158,2 business days or less,67,0.5491803278688525,0.10839085418464195
initial_matching_rights_period_ftr_answer,Deal Protection and Related Provisions,8,8,129,23,0.1513157894736842,4 business days,67,0.5193798449612403,0.0785903712770298
cor_standard_intervening_event,Deal Protection and Related Provisions,9,9,139,13,0.08552631578947369,"""Inconsistent"" with fiduciary duties",64,0.460431654676259,0.03937902309731163
additional_matching_rights_period_for_modifications_cor_answer,Deal Protection and Related Provisions,7,7,148,4,0.02631578947368421,2 business days or less,76,0.5135135135135135,0.013513513513513513
initial_matching_rights_period_cor_answer,Deal Protection and Related Provisions,7,7,148,4,0.02631578947368421,4 business days,75,0.5067567567567568,0.01333570412517781
fiduciary_exception_board_determination_standard_answer_no_shop,Deal Protection and Related Provisions,9,9,151,1,0.006578947368421052,None,47,0.31125827814569534,0.00204775182990589
cor_standard_superior_offer,Deal Protection and Related Provisions,10,10,152,0,0.0,"""Inconsistent"" with fiduciary duties",61,0.40131578947368424,0.0
